                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6346,                 3.1251,                 1.1532,                 0.2652,                0.76347,                 0.2959,                0.20521,                 1.0367,                    inf,                0.95426,             0.00023331,             0.00023331,             0.00023331
                      2,                 1.0972,                   1.22,                0.94978,                0.31414,                0.72962,                0.38041,                  0.264,                0.91221,                    inf,                0.95432,             0.00047615,             0.00047615,             0.00047615
                      3,                  1.043,                0.89891,                0.92029,                0.64301,                0.75916,                0.61897,                0.46675,                0.98492,                    inf,                0.93963,             0.00071738,             0.00071738,             0.00071738
                      4,                 1.0474,                0.83932,                 0.9267,                0.59503,                0.81169,                0.63846,                0.45846,                 1.0141,                 13.584,                0.96087,               0.000957,               0.000957,               0.000957
                      5,                  1.009,                0.79097,                0.91048,                0.83054,                0.84192,                 0.8603,                 0.6614,                0.89689,                 1.2814,                0.91772,              0.0010963,              0.0010963,              0.0010963
                      6,                 1.0051,                0.70014,                0.91342,                0.81625,                0.73142,                 0.7791,                 0.5813,                0.99258,                 1.0804,                 0.9585,              0.0010963,              0.0010963,              0.0010963
                      7,                0.93261,                0.61596,                0.88888,                 0.8512,                0.76288,                0.84024,                0.63318,                0.90897,                0.83275,                0.93215,              0.0010927,              0.0010927,              0.0010927
                      8,                 0.9781,                0.61861,                 0.9115,                0.82761,                0.83354,                0.87293,                0.65487,                0.92819,                 0.7592,                 0.9408,               0.001089,               0.001089,               0.001089
                      9,                0.95355,                0.61258,                0.89796,                0.83356,                0.89654,                0.90538,                0.67227,                0.92762,                0.68125,                0.93014,              0.0010853,              0.0010853,              0.0010853
                     10,                0.95396,                0.61336,                0.90118,                0.83357,                0.89605,                0.90512,                0.67542,                0.96705,                0.72746,                0.93202,              0.0010817,              0.0010817,              0.0010817
                     11,                 0.9339,                0.60355,                0.88905,                0.88236,                0.86462,                0.88898,                0.66841,                0.90374,                0.69934,                0.91202,               0.001078,               0.001078,               0.001078
                     12,                0.89683,                0.54899,                0.87426,                0.80471,                0.88696,                0.88731,                0.68665,                  0.822,                0.68647,                0.89229,              0.0010743,              0.0010743,              0.0010743
                     13,                0.89567,                0.55943,                0.88106,                0.89218,                0.87451,                0.90191,                0.65568,                0.99893,                0.66083,                0.92758,              0.0010707,              0.0010707,              0.0010707
                     14,                0.87777,                0.53742,                0.87405,                0.91443,                0.85332,                0.91236,                0.72036,                0.80009,                0.61872,                  0.888,               0.001067,               0.001067,               0.001067
                     15,                0.86444,                0.50487,                 0.8703,                0.87549,                0.88279,                0.90672,                0.69819,                0.87809,                0.61582,                 0.9065,              0.0010633,              0.0010633,              0.0010633
                     16,                0.89634,                0.50756,                0.87364,                 0.8902,                0.89234,                0.91355,                0.72744,                0.80967,                0.60776,                0.90251,              0.0010597,              0.0010597,              0.0010597
                     17,                0.85407,                 0.4998,                0.86689,                0.87574,                0.90558,                0.90483,                0.73062,                 0.8185,                0.60543,                0.90154,               0.001056,               0.001056,               0.001056
                     18,                0.84495,                0.49182,                  0.872,                0.90703,                 0.9023,                0.90739,                0.71336,                0.82228,                0.59301,                0.89687,              0.0010523,              0.0010523,              0.0010523
                     19,                0.83324,                 0.4812,                0.85907,                0.88154,                0.86168,                0.89304,                0.72228,                0.75417,                0.60696,                0.88273,              0.0010487,              0.0010487,              0.0010487
                     20,                0.83433,                0.48081,                0.86888,                0.88242,                0.91795,                0.90701,                0.67709,                0.97591,                0.62506,                0.91963,               0.001045,               0.001045,               0.001045
                     21,                0.83312,                0.48317,                0.86252,                0.88451,                 0.9167,                0.90556,                0.70321,                0.83882,                0.59374,                0.89892,              0.0010413,              0.0010413,              0.0010413
                     22,                0.82235,                0.47643,                0.85846,                0.90131,                0.85794,                0.88293,                0.67969,                0.91734,                0.62563,                0.91836,              0.0010377,              0.0010377,              0.0010377
                     23,                0.81559,                0.47529,                0.86253,                0.89794,                0.86983,                  0.907,                0.72673,                0.86028,                0.61409,                0.90115,               0.001034,               0.001034,               0.001034
                     24,                 0.8076,                0.47063,                0.85525,                 0.9085,                0.92824,                0.91975,                0.69671,                0.91006,                0.58331,                0.89711,              0.0010303,              0.0010303,              0.0010303
                     25,                0.81892,                0.46771,                0.85655,                0.90087,                0.87297,                0.90625,                0.69222,                0.91978,                0.63624,                0.89797,              0.0010267,              0.0010267,              0.0010267
                     26,                0.80326,                0.46517,                0.85289,                0.91619,                0.85973,                0.90864,                0.72558,                0.82711,                0.62723,                0.88491,               0.001023,               0.001023,               0.001023
                     27,                0.79257,                0.44943,                0.85637,                0.90482,                  0.885,                0.91211,                0.70746,                0.89778,                0.64101,                0.90214,              0.0010193,              0.0010193,              0.0010193
                     28,                 0.7861,                0.44869,                0.85116,                0.88871,                0.88265,                0.90563,                0.68301,                0.94327,                0.64702,                0.91337,              0.0010157,              0.0010157,              0.0010157
                     29,                0.77174,                0.43706,                 0.8471,                0.90456,                 0.9073,                0.90858,                0.71805,                0.82548,                0.56247,                0.89737,               0.001012,               0.001012,               0.001012
                     30,                0.76236,                0.43156,                0.84287,                0.92056,                 0.8947,                0.90244,                0.69392,                0.86202,                0.58855,                0.90013,              0.0010083,              0.0010083,              0.0010083
                     31,                0.79639,                0.43802,                0.84866,                0.91025,                 0.9107,                0.90748,                0.68762,                0.95835,                0.61365,                 0.9057,              0.0010047,              0.0010047,              0.0010047
                     32,                0.78721,                0.43474,                0.85138,                0.90979,                0.86874,                0.90018,                0.69702,                0.84789,                0.60664,                0.89243,               0.001001,               0.001001,               0.001001
                     33,                0.76539,                0.43235,                0.85011,                0.88217,                0.91713,                0.91176,                 0.7405,                0.74722,                0.57303,                0.88101,             0.00099734,             0.00099734,             0.00099734
                     34,                0.77433,                0.43074,                0.85419,                0.88572,                0.90124,                0.90827,                 0.7218,                0.82566,                0.60741,                0.88633,             0.00099368,             0.00099368,             0.00099368
                     35,                0.78653,                0.43445,                   0.85,                0.89355,                0.90852,                0.90973,                0.75229,                0.72686,                0.56155,                 0.8704,             0.00099001,             0.00099001,             0.00099001
                     36,                0.79574,                0.43774,                0.84904,                0.87123,                0.88432,                 0.9034,                0.71448,                 0.8273,                 0.5965,                0.89188,             0.00098635,             0.00098635,             0.00098635
                     37,                0.76711,                0.42323,                0.84755,                0.89152,                0.85054,                0.88857,                 0.6764,                 0.8943,                0.64213,                0.90294,             0.00098268,             0.00098268,             0.00098268
                     38,                0.72693,                0.40493,                0.83696,                0.90582,                0.89922,                0.92257,                0.71626,                0.85985,                0.57661,                0.89675,             0.00097901,             0.00097901,             0.00097901
                     39,                 0.7637,                0.41452,                0.85049,                0.87998,                0.89971,                0.90297,                0.73944,                0.74121,                0.56123,                0.87085,             0.00097535,             0.00097535,             0.00097535
                     40,                0.79569,                0.42942,                0.85192,                0.90309,                0.89929,                0.90311,                0.73704,                0.73748,                0.55846,                0.87283,             0.00097168,             0.00097168,             0.00097168
                     41,                0.73345,                 0.4117,                0.83981,                 0.8998,                0.90094,                0.91301,                0.74244,                 0.7709,                0.57204,                0.88064,             0.00096801,             0.00096801,             0.00096801
                     42,                0.73936,                0.41774,                0.83891,                 0.9009,                0.87766,                0.90323,                 0.7037,                0.85496,                0.59399,                0.89064,             0.00096435,             0.00096435,             0.00096435
                     43,                0.75259,                0.42581,                 0.8437,                0.90326,                0.89347,                0.91826,                0.73451,                0.81625,                0.56491,                0.88115,             0.00096068,             0.00096068,             0.00096068
                     44,                0.72787,                 0.4157,                0.83669,                0.88742,                0.88947,                0.90691,                0.72806,                0.81799,                0.57913,                0.88105,             0.00095702,             0.00095702,             0.00095702
                     45,                0.72575,                0.40937,                0.83614,                0.89289,                0.85868,                0.89257,                0.66694,                0.93038,                0.64709,                0.90427,             0.00095335,             0.00095335,             0.00095335
                     46,                0.73908,                0.41588,                0.84259,                0.87031,                 0.8726,                0.89555,                 0.6767,                0.92216,                0.63482,                0.90596,             0.00094968,             0.00094968,             0.00094968
                     47,                0.71685,                0.39652,                0.83379,                0.91394,                0.84826,                0.89336,                0.64903,                 1.0112,                0.63957,                 0.9248,             0.00094602,             0.00094602,             0.00094602
                     48,                0.73645,                0.41503,                0.84092,                0.90018,                0.87197,                0.90764,                0.69689,                0.86037,                0.58199,                0.89775,             0.00094235,             0.00094235,             0.00094235
                     49,                0.72571,                0.40005,                0.84275,                0.87299,                0.90681,                0.91395,                0.72817,                 0.8103,                 0.5751,                0.88158,             0.00093868,             0.00093868,             0.00093868
                     50,                0.75067,                0.40888,                0.84473,                0.90951,                0.91433,                0.92159,                0.73814,                0.80161,                0.53647,                0.87997,             0.00093502,             0.00093502,             0.00093502
                     51,                0.71596,                0.39799,                0.83804,                0.91196,                0.90506,                0.92472,                0.72648,                0.83037,                0.54511,                0.87557,             0.00093135,             0.00093135,             0.00093135
                     52,                0.69939,                0.39329,                0.83352,                0.92331,                0.86514,                0.92043,                  0.745,                0.77449,                0.55118,                 0.8744,             0.00092769,             0.00092769,             0.00092769
                     53,                0.74023,                0.40195,                 0.8378,                 0.9181,                 0.8737,                0.91117,                0.71615,                0.84039,                 0.5701,                0.88833,             0.00092402,             0.00092402,             0.00092402
                     54,                0.70912,                0.38106,                0.83087,                0.91565,                0.84976,                0.90909,                 0.7062,                 0.8316,                0.56485,                0.88777,             0.00092035,             0.00092035,             0.00092035
                     55,                0.71437,                0.38804,                0.83182,                0.91422,                0.87907,                0.91421,                0.72397,                  0.824,                0.56546,                0.89456,             0.00091669,             0.00091669,             0.00091669
                     56,                0.68723,                0.38349,                0.83382,                0.90807,                0.91652,                0.91187,                0.72975,                0.83127,                0.56676,                0.87944,             0.00091302,             0.00091302,             0.00091302
                     57,                  0.695,                0.38659,                0.83354,                0.89899,                 0.8888,                0.92016,                0.72999,                0.85917,                0.57973,                0.88393,             0.00090935,             0.00090935,             0.00090935
                     58,                0.72588,                0.39395,                0.84266,                0.86826,                0.93068,                0.92352,                0.72888,                 0.8513,                0.56301,                0.88997,             0.00090569,             0.00090569,             0.00090569
                     59,                0.68722,                0.38035,                0.83024,                0.88807,                 0.8996,                 0.9052,                0.72386,                0.78968,                0.56905,                0.87923,             0.00090202,             0.00090202,             0.00090202
                     60,                0.70973,                0.37712,                0.83823,                0.91952,                0.85449,                 0.8942,                0.70799,                0.82827,                0.58247,                0.88499,             0.00089835,             0.00089835,             0.00089835
